"Analysis","k","Pub. g","Pub. CI","BF_effect","PP_effect","BF_pb","PP_pb","mu_median","mu_CrI","Attenuation","ESS_mu","Rhat_mu"
"Primary (k=12)",12,0.9,"[0.55, 1.26]",3.68,0.79,3.89,0.8,0.53,"[0.00, 1.00]","41%",966,1.005
"MDD/TRD diagnosis (k=5) ⚠",5,0.93,"[0.00, 1.87]",3.73,0.79,3.15,0.76,0.56,"[-0.00, 1.02]","40%",2093,1
"Parallel design (k=7)",7,0.8,"[0.49, 1.11]",10.97,0.92,1.32,0.57,0.71,"[0.00, 0.99]","12%",1327,1.002
"Crossover only (k=5) ⚠",5,1.04,"[0.03, 2.06]",1.16,0.54,6.38,0.86,0,"[-0.49, 1.13]","100%",2031,1.001
"Excl. open-label (k=9)",9,0.81,"[0.60, 1.03]",38.74,0.97,0.73,0.42,0.77,"[0.00, 0.99]","5%",1496,1.016
"Excl. high RoB (k=9)",9,0.97,"[0.57, 1.38]",3.22,0.76,14.62,0.94,0.45,"[0.00, 0.97]","53%",957,1
"Goodwin 10 mg arm (k=12)",12,0.87,"[0.47, 1.27]",0.67,0.4,35.86,0.97,0,"[-0.21, 0.76]","100%",1972,1
"Expanded inclusion (k=15)",15,0.88,"[0.56, 1.21]",2.42,0.71,10.86,0.92,0.37,"[-0.03, 0.90]","58%",1086,1.001
"Clinician-rated (k=7)",7,1.02,"[0.44, 1.60]",3.11,0.76,7.76,0.89,0.49,"[-0.03, 1.05]","52%",1123,1.001
"Self-report (k=9) †",9,1,"[0.31, 1.68]",0.48,0.32,2999,1,0,"[-0.14, 0.42]","100%",4286,1.001
"Excl. Davis 2021 (k=11)",11,0.81,"[0.55, 1.07]",24.55,0.96,0.89,0.47,0.74,"[0.00, 0.96]","8%",1478,1.01
